Designator,Mid X,Mid Y,Layer,Rotation
C1,38,36,Bottom,180
C2,38,39,Bottom,180
C3,38,42,Bottom,180
C4,42,36,Bottom,0
C5,42,39,Bottom,0
C6,26.5,89.45,Bottom,0
C7,11,42.5,Bottom,270
C8,114,77.5,Bottom,0
C9,133,77.5,Bottom,0
C10,152,77.5,Bottom,0
C11,171,77.5,Bottom,0
D0,28.4,24.5,Bottom,0
D1,8,74,Bottom,0
D2,34.6,89.55,Bottom,0
D3,54,82,Bottom,0
D4,60,82,Bottom,0
D5,92,80,Bottom,0
D6,95,83,Bottom,0
D7,114,83,Bottom,0
D8,133,83,Bottom,0
D9,152,83,Bottom,0
D10,171,83,Bottom,0
D11,196,77,Bottom,0
D12,215,77,Bottom,0
D13,234,77,Bottom,0
D14,262,76,Bottom,0
D15,6,63,Bottom,0
D16,32.5,63.38,Bottom,0
D17,51,63.38,Bottom,0
D18,63.5,63.38,Bottom,0
D19,92,75.88,Bottom,0
D20,108.5,62.88,Bottom,0
D21,127.5,63.38,Bottom,0
D22,146.5,63.38,Bottom,0
D23,165.5,63.38,Bottom,0
D24,184.5,63.38,Bottom,0
D25,203.55,63.43,Bottom,0
D26,222.5,63.38,Bottom,0
D27,241.5,63.38,Bottom,0
D28,270,76.13,Bottom,0
D29,16,37.25,Bottom,0
D30,49,44.13,Bottom,0
D31,56.5,44.13,Bottom,0
D32,75.5,44.13,Bottom,0
D33,94.5,44.13,Bottom,0
D34,113.5,44.13,Bottom,0
D35,143,44.13,Bottom,0
D36,151.5,44.13,Bottom,0
D37,170.5,44.13,Bottom,0
D38,189.5,44.13,Bottom,0
D39,208.5,44.13,Bottom,0
D40,227.5,44.13,Bottom,0
D41,258.5,44.25,Bottom,0
D42,15.9,24.45,Bottom,0
D43,46.9,24.53,Bottom,0
D44,65.95,24.48,Bottom,0
D45,84.8,24.48,Bottom,0
D46,104,24.63,Bottom,0
D47,123,24.63,Bottom,0
D48,142,24.63,Bottom,0
D49,161,24.63,Bottom,0
D50,179.75,24.93,Bottom,0
D51,198.8,25.03,Bottom,0
D52,217.8,25.03,Bottom,0
D53,253.4,25.05,Bottom,0
D54,18,19,Bottom,0
D55,28.25,17.95,Bottom,0
D56,53.95,18,Bottom,0
D57,125.45,17.95,Bottom,0
D58,196.35,17.5,Bottom,0
D59,220.2,17.95,Bottom,0
D60,258.6,17.95,Bottom,0
D61,264.7,17.9,Bottom,0
ESD,16,80,Bottom,270
LM1117,39,28,Bottom,270
PTC,19.4,80,Bottom,90
R1,12.8,80.2,Bottom,90
R2,14.5,84.5,Bottom,270
R3,35.6,58.5,Bottom,90
R4,40.4,58.5,Bottom,90
R5,26.5,91.5,Bottom,180
R6,67,44.15,Bottom,0
S1,30,41,Bottom,0
S2,30,48,Bottom,0
TVS,16,76,Bottom,180
Y1,23,39,Bottom,180